"id-mapa","anio","mes","dia","fecha","franja","tipo","subtipo","uso_arma","uso_moto","barrio","comuna","latitud","longitud","cantidad"
1368295,"2023","DICIEMBRE","MARTES","2023-12-19",14,"Robo","Robo total","SI","NO","SAN NICOLAS",1,"-34.607012","-58.383507",1
1368296,"2023","AGOSTO","VIERNES","2023-08-18",7,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.606202","-58.382646",1
1368297,"2023","ENERO","LUNES","2023-01-09",18,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.606333","-58.382122",1
1368298,"2023","NOVIEMBRE","MIERCOLES","2023-11-08",11,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.606333","-58.382122",1
1368299,"2023","SEPTIEMBRE","MIERCOLES","2023-09-27",23,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.606333","-58.382122",1
1368300,"2023","MARZO","DOMINGO","2023-03-26",20,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.606611","-58.382109",1
1368301,"2023","MARZO","SABADO","2023-03-11",8,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.606611","-58.382109",1
1368302,"2023","MARZO","MIERCOLES","2023-03-29",22,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.60612","-58.382083",1
1368303,"2023","ENERO","VIERNES","2023-01-20",17,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.609249","-58.391342",1
1368304,"2023","ENERO","MARTES","2023-01-24",11,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.609249","-58.391342",1
1368305,"2023","JULIO","MARTES","2023-07-11",14,"Robo","Robo total","NO","SI","BALVANERA",3,"-34.609233","-58.391962",1
1368306,"2023","NOVIEMBRE","SABADO","2023-11-04",21,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.609249","-58.391342",1
1368307,"2023","DICIEMBRE","DOMINGO","2023-12-10",12,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.609249","-58.391342",1
1368308,"2023","DICIEMBRE","MIERCOLES","2023-12-20",18,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.60924227","-58.39153026",1
1368309,"2023","NOVIEMBRE","SABADO","2023-11-04",16,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.609252","-58.391419",1
1368310,"2023","NOVIEMBRE","SABADO","2023-11-04",19,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.609249","-58.391342",1
1368311,"2023","FEBRERO","LUNES","2023-02-27",11,"Robo","Robo total","NO","NO","BALVANERA",3,"-34.609233","-58.391962",1
1368312,"2023","FEBRERO","MARTES","2023-02-07",6,"Robo","Robo total","NO","NO","BALVANERA",3,"-34.614915","-58.391683",1
1368313,"2023","JULIO","MARTES","2023-07-11",8,"Hurto","Hurto total","NO","NO","BALVANERA",3,"-34.61503495","-58.39168559",1
1368314,"2023","OCTUBRE","JUEVES","2023-10-12",2,"Robo","Robo total","NO","NO","BALVANERA",3,"-34.615698","-58.391665",1
1368315,"2023","NOVIEMBRE","SABADO","2023-11-18",21,"Robo","Robo total","NO","NO","BALVANERA",3,"-34.614915","-58.391683",1
1368316,"2023","AGOSTO","MIERCOLES","2023-08-23",11,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.60560635","-58.3911963",1
1368317,"2023","SEPTIEMBRE","DOMINGO","2023-09-10",5,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.605601","-58.391179",1
1368318,"2023","ENERO","SABADO","2023-01-07",5,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.60560635","-58.3911963",1
1368319,"2023","MARZO","JUEVES","2023-03-23",0,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.605601","-58.391179",1
1368320,"2023","JUNIO","DOMINGO","2023-06-18",6,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.605601","-58.391179",1
1368321,"2023","DICIEMBRE","SABADO","2023-12-09",1,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.60560635","-58.3911963",1
1368322,"2023","JULIO","MARTES","2023-07-18",12,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.60561014","-58.39123812",1
1368323,"2023","ENERO","DOMINGO","2023-01-22",1,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.605626","-58.391469",1
1368324,"2023","ENERO","DOMINGO","2023-01-22",3,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.605626","-58.391469",1
1368325,"2023","SEPTIEMBRE","DOMINGO","2023-09-17",6,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.605601","-58.391179",1
1368326,"2023","JULIO","DOMINGO","2023-07-02",6,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.605626","-58.391469",1
1368327,"2023","AGOSTO","DOMINGO","2023-08-06",6,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.605557","-58.391578",1
